event_index,kind,lane,source_time,expected_beat,receptor_cross_time,receptor_cross_frame,error_ms,visual_strength
0,tap,3,0.992000,0.992000,1.000000,60,8.000000,65.680923
1,tap,3,1.994667,1.994667,2.000000,120,5.333000,57.510010
2,tap,1,2.954667,2.954667,2.966667,178,11.999667,120.404282
3,tap,2,3.797333,3.797333,3.800000,228,2.667000,79.531818
4,tap,2,4.789333,4.789333,4.800000,288,10.667000,58.241829
5,tap,0,5.578667,5.578667,5.583333,335,4.666333,117.195854
6,tap,3,6.592000,6.592000,6.600000,396,8.000000,62.310379
7,tap,2,7.392000,7.392000,7.400000,444,8.000000,61.483543
8,tap,3,8.192000,8.192000,8.200000,492,8.000000,61.645523
9,tap,0,8.992000,8.992000,9.000000,540,8.000000,116.033485
10,tap,2,9.792000,9.792000,9.800000,588,8.000000,61.483543
11,tap,3,10.592000,10.592000,10.600000,636,8.000000,68.355896
12,tap,3,11.392000,11.392000,11.400000,684,8.000000,61.603745
13,tap,1,12.170667,12.170667,12.183333,731,12.666333,130.977066
14,tap,1,13.162667,13.162667,13.166667,790,3.999667,117.772736
15,tap,2,13.994667,13.994667,14.000000,840,5.333000,58.586212
16,tap,0,14.773333,14.773333,14.783333,887,10.000333,122.117363
17,tap,1,15.562667,15.562667,15.566667,934,3.999667,117.772736
18,tap,2,16.192000,16.192000,16.200000,972,8.000000,61.214500
19,tap,0,16.981333,16.981333,16.983333,1019,2.000333,125.044930
20,tap,1,17.792000,17.792000,17.800000,1068,8.000000,114.140526
21,tap,3,18.389333,18.389333,18.400000,1104,10.667000,60.058617
22,tap,0,18.986667,18.986667,19.000000,1140,13.333000,119.909935
23,tap,2,19.594667,19.594667,19.600000,1176,5.333000,59.148163
24,tap,1,20.192000,20.192000,20.200000,1212,8.000000,114.141350
25,tap,3,20.789333,20.789333,20.800000,1248,10.667000,60.058617
26,tap,0,21.386667,21.386667,21.400000,1284,13.333000,120.560539
27,tap,1,21.962667,21.962667,21.966667,1318,3.999667,117.772736
28,tap,2,22.592000,22.592000,22.600000,1356,8.000000,61.214500
29,tap,0,23.168000,23.168000,23.183333,1391,15.333333,121.803505
30,tap,0,25.194667,25.194667,25.200000,1512,5.333000,67.592300
31,tap,1,27.189333,27.189333,27.200000,1632,10.667000,133.502090
32,tap,3,28.778667,28.778667,28.783333,1727,4.666333,46.597160
33,tap,0,29.472000,29.472000,29.483333,1769,11.333333,126.579208
34,tap,3,30.186667,30.186667,30.200000,1812,13.333000,60.689751
35,tap,2,30.773333,30.773333,30.783333,1847,10.000333,64.473427
36,tap,2,31.381333,31.381333,31.383333,1883,2.000333,77.604397
37,tap,3,31.978667,31.978667,31.983333,1919,4.666333,68.735043
38,tap,1,32.682667,32.682667,32.683333,1961,0.666333,115.553177
39,tap,3,33.376000,33.376000,33.383333,2003,7.333333,55.528267
40,tap,2,33.984000,33.984000,34.000000,2040,16.000000,60.296669
41,tap,3,34.581333,34.581333,34.583333,2075,2.000333,77.205215
42,tap,0,35.157333,35.157333,35.166667,2110,9.333667,121.001732
43,tap,1,35.861333,35.861333,35.866667,2152,5.333667,114.862762
44,tap,2,36.373333,36.373333,36.383333,2183,10.000333,64.473427
45,tap,2,36.981333,36.981333,36.983333,2219,2.000333,77.888653
46,tap,1,37.568000,37.568000,37.583333,2255,15.333333,118.482399
47,tap,0,38.154667,38.154667,38.166667,2290,11.999667,122.324463
48,tap,3,38.784000,38.784000,38.800000,2328,16.000000,66.506073
49,tap,3,39.360000,39.360000,39.366667,2362,6.666667,62.290871
50,tap,2,39.978667,39.978667,39.983333,2399,4.666333,69.049908
51,tap,3,40.672000,40.672000,40.683333,2441,11.333333,55.715652
52,tap,1,41.173333,41.173333,41.183333,2471,10.000333,119.866211
53,tap,2,41.781333,41.781333,41.783333,2507,2.000333,84.003048
54,tap,2,42.368000,42.368000,42.383333,2543,15.333333,58.332458
55,tap,3,42.976000,42.976000,42.983333,2579,7.333333,55.528267
56,tap,2,43.573333,43.573333,43.583333,2615,10.000333,57.695442
57,tap,0,44.170667,44.170667,44.183333,2651,12.666333,124.024597
58,tap,3,44.757333,44.757333,44.766667,2686,9.333667,60.768784
59,tap,1,45.568000,45.568000,45.583333,2735,15.333333,118.482399
60,tap,0,46.389333,46.389333,46.400000,2784,10.667000,122.182007
61,tap,2,47.189333,47.189333,47.200000,2832,10.667000,58.805122
62,tap,1,47.744000,47.744000,47.750000,2865,6.000000,119.515152
63,tap,3,48.384000,48.384000,48.400000,2904,16.000000,59.788635
64,tap,0,49.162667,49.162667,49.166667,2950,3.999667,126.012138
65,tap,0,49.781333,49.781333,49.783333,2987,2.000333,125.044930
66,tap,1,50.389333,50.389333,50.400000,3024,10.667000,128.370468
67,tap,1,50.954667,50.954667,50.966667,3058,11.999667,120.404282
68,tap,2,51.573333,51.573333,51.583333,3095,10.000333,57.968315
69,tap,3,52.181333,52.181333,52.183333,3131,2.000333,77.864792
70,tap,2,52.768000,52.768000,52.783333,3167,15.333333,58.057266
71,tap,0,53.589333,53.589333,53.600000,3216,10.667000,122.809799
72,tap,1,54.154667,54.154667,54.166667,3250,11.999667,119.876602
73,tap,3,54.784000,54.784000,54.800000,3288,16.000000,59.788361
74,tap,0,55.370667,55.370667,55.383333,3323,12.666333,133.078384
75,tap,0,55.989333,55.989333,56.000000,3360,10.667000,122.182007
76,tap,2,56.565333,56.565333,56.566667,3394,1.333667,71.253265
77,tap,3,57.173333,57.173333,57.183333,3431,10.000333,54.570923
78,tap,2,61.088000,61.088000,61.100000,3666,12.000000,76.656895
79,tap,1,63.989333,63.989333,64.000000,3840,10.667000,119.824661
80,tap,0,64.576000,64.576000,64.583333,3875,7.333333,137.106339
81,tap,1,65.162667,65.162667,65.166667,3910,3.999667,126.073456
82,tap,1,65.781333,65.781333,65.783333,3947,2.000333,126.902443
83,tap,2,66.368000,66.368000,66.383333,3983,15.333333,58.057266
84,tap,0,66.965333,66.965333,66.966667,4018,1.333667,143.444908
85,tap,1,67.562667,67.562667,67.566667,4054,3.999667,117.577438
86,tap,0,68.170667,68.170667,68.183333,4091,12.666333,124.648056
87,tap,1,68.768000,68.768000,68.783333,4127,15.333333,118.096016
88,tap,3,69.376000,69.376000,69.383333,4163,7.333333,55.028046
89,tap,2,69.888000,69.888000,69.900000,4194,12.000000,59.150536
90,tap,0,70.570667,70.570667,70.583333,4235,12.666333,124.648056
91,tap,1,71.146667,71.146667,71.150000,4269,3.333000,113.238243
92,tap,0,71.754667,71.754667,71.766667,4306,11.999667,134.475594
93,tap,1,72.362667,72.362667,72.366667,4342,3.999667,117.234528
94,tap,3,72.970667,72.970667,72.983333,4379,12.666333,61.408607
95,tap,0,73.568000,73.568000,73.583333,4415,15.333333,119.961464
96,hold_start,0,74.154821,74.154821,74.166667,4450,11.845667,167.547897
97,tap,2,74.773333,74.773333,74.783333,4487,10.000333,57.975853
98,tap,3,75.584000,75.584000,75.600000,4536,16.000000,60.451416
99,tap,2,76.394667,76.394667,76.400000,4584,5.333000,59.148163
100,tap,1,76.981333,76.981333,76.983333,4619,2.000333,125.663124
101,tap,0,77.546667,77.546667,77.550000,4653,3.333000,113.747993
102,tap,3,78.186667,78.186667,78.200000,4692,13.333000,59.995003
103,tap,1,78.762667,78.762667,78.766667,4726,3.999667,117.772736
104,hold_start,1,79.018831,79.018831,79.033333,4742,14.502333,172.203751
105,tap,2,79.392000,79.392000,79.400000,4764,8.000000,61.507118
106,tap,3,79.978667,79.978667,79.983333,4799,4.666333,67.077454
107,tap,0,80.554667,80.554667,80.566667,4834,11.999667,122.303818
108,tap,2,81.184000,81.184000,81.200000,4872,16.000000,60.295845
109,tap,3,81.792000,81.792000,81.800000,4908,8.000000,62.310379
110,tap,2,82.378667,82.378667,82.383333,4943,4.666333,69.343288
111,tap,1,82.944000,82.944000,82.950000,4977,6.000000,120.046600
112,tap,2,83.584000,83.584000,83.600000,5016,16.000000,60.020226
113,hold_start,2,83.882841,83.882841,83.883333,5033,0.492333,49.212166
114,tap,0,84.149333,84.149333,84.150000,5049,0.667000,114.825447
115,tap,1,84.736000,84.736000,84.750000,5085,14.000000,120.254982
116,tap,0,85.365333,85.365333,85.366667,5122,1.333667,116.544312
117,tap,3,85.984000,85.984000,86.000000,5160,16.000000,66.505585
118,tap,3,86.581333,86.581333,86.583333,5195,2.000333,77.163559
119,tap,1,87.157333,87.157333,87.166667,5230,9.333667,133.094231
120,tap,0,87.744000,87.744000,87.750000,5265,6.000000,121.658310
121,tap,2,89.066667,89.066667,89.083333,5345,16.666333,69.781738
