event_index,kind,lane,source_time,expected_beat,receptor_cross_time,receptor_cross_frame,sfx_peak_time,error_ms,visual_strength
0,tap,2,4.789333,8.689333,8.633333,259,8.647729,-55.999667,51.712410
1,tap,2,7.392000,11.292000,11.233333,337,11.309792,-58.666667,47.007160
2,tap,0,18.986667,22.886667,22.833333,685,22.917396,-53.333667,54.793106
3,tap,1,20.192000,24.092000,24.033333,721,24.012979,-58.666667,56.958515
4,tap,2,31.381333,35.281333,35.233333,1057,35.311083,-47.999667,50.044121
5,tap,2,33.984000,37.884000,37.833333,1135,37.913625,-50.666667,50.690193
6,tap,1,35.861333,39.761333,39.700000,1191,39.791917,-61.333000,52.660622
7,tap,0,38.154667,42.054667,42.000000,1260,42.089792,-54.667000,50.679214
8,tap,1,41.173333,45.073333,45.000000,1350,45.102396,-73.333000,57.880161
9,tap,0,44.170667,48.070667,48.000000,1440,48.095146,-70.667000,59.469009
10,tap,1,47.744000,51.644000,51.566667,1547,51.588917,-77.333333,59.907803
11,tap,3,48.384000,52.284000,52.233333,1567,52.235146,-50.666667,46.872631
12,tap,1,50.954667,54.854667,54.800000,1644,54.712208,-54.667000,47.931793
13,tap,3,52.181333,56.081333,56.033333,1681,56.120000,-47.999667,47.727337
14,tap,1,54.154667,58.054667,58.000000,1740,58.079333,-54.667000,49.984467
15,tap,0,55.989333,59.889333,59.833333,1795,59.908458,-55.999667,48.891647
16,tap,1,65.781333,69.681333,69.633333,2089,69.727250,-47.999667,50.016174
17,tap,1,68.768000,72.668000,72.600000,2178,72.550708,-68.000000,53.157845
18,tap,2,69.888000,73.788000,73.733333,2212,73.819875,-54.666667,50.193157
19,hold_start,3,71.722815,75.622815,75.566667,2267,75.668708,-56.148333,47.388397
20,tap,1,72.362667,76.262667,76.200000,2286,76.308875,-62.667000,53.752335
21,tap,0,73.568000,77.468000,77.400000,2322,77.293458,-68.000000,51.104652
22,tap,3,75.584000,79.484000,79.433333,2383,79.519563,-50.666667,47.131580
23,tap,0,77.546667,81.446667,81.366667,2441,81.399792,-80.000333,51.325142
24,tap,1,78.762667,82.662667,82.600000,2478,82.672771,-62.667000,48.204437
25,tap,2,81.184000,85.084000,85.033333,2551,85.108042,-50.666667,47.302036
26,tap,1,82.944000,86.844000,86.766667,2603,86.879896,-77.333333,53.294685
27,tap,0,85.365333,89.265333,89.200000,2676,89.305229,-65.333000,51.847519
28,hold_start,2,87.125515,91.025515,91.000000,2730,91.081729,-25.515000,46.895790
